,workingday,temp,humidity,windspeed,casual,registered,count,time,month,season_2,season_3,season_4,weather_2,weather_3,weather_4
1273,1,22.96,64,19.9995,17.0,118.0,145.0,12.0,2.0,0,0,0,1,0,0
8959,1,18.86,33,22.0028,17.0,118.0,145.0,14.0,4.0,1,0,0,0,0,0
4400,0,26.24,27,30.0026,288.0,372.0,660.0,14.0,4.0,1,0,0,1,0,0
1690,1,24.6,69,7.0015,17.0,118.0,145.0,3.0,8.0,0,1,0,0,0,0
1671,1,29.52,54,22.0028,17.0,118.0,145.0,18.0,5.0,1,0,0,0,0,0
8772,0,33.62,56,26.0027,17.0,118.0,145.0,9.0,7.0,0,1,0,0,0,0
12144,1,13.12,76,12.998,4.0,47.0,51.0,6.0,3.0,0,0,0,0,0,0
14670,1,9.84,65,8.9981,7.0,14.0,21.0,0.0,2.0,0,0,0,0,0,0
13768,1,23.78,100,8.9981,17.0,118.0,145.0,23.0,9.0,0,0,1,1,0,0
7908,1,30.34,48,6.0032,60.0,152.0,212.0,15.0,9.0,0,1,0,0,0,0
9208,0,23.78,83,19.9995,17.0,118.0,145.0,1.0,9.0,0,1,0,0,0,0
11722,0,12.3,75,11.0014,17.0,118.0,145.0,6.0,12.0,0,0,0,1,0,0
12506,1,22.14,88,16.9979,3.0,9.0,12.0,1.0,5.0,1,0,0,1,0,0
12343,1,27.88,36,0.0,49.0,115.0,164.0,11.0,6.0,1,0,0,0,0,0
5368,1,13.94,53,16.9979,30.0,188.0,218.0,13.0,11.0,0,0,1,0,0,0
7138,0,13.94,76,26.0027,72.0,64.0,136.0,15.0,4.0,1,0,0,0,1,0
627,1,16.4,62,22.0028,17.0,174.0,191.0,20.0,5.0,1,0,0,0,0,0
9229,1,17.22,100,22.0028,17.0,118.0,145.0,6.0,1.0,0,0,0,1,0,0
4633,1,24.6,100,11.0014,17.0,118.0,145.0,21.0,9.0,0,0,1,0,0,0
5317,1,28.7,24,31.0009,51.0,227.0,278.0,19.0,4.0,1,0,0,0,0,0
17257,0,22.14,42,15.0013,260.0,393.0,653.0,16.0,11.0,0,0,1,0,0,0
14873,1,24.6,49,0.0,35.0,323.0,358.0,9.0,9.0,0,1,0,0,0,0
5122,0,12.3,56,8.9981,17.0,118.0,145.0,11.0,1.0,0,0,0,0,0,0
10760,1,19.68,77,6.0032,7.0,155.0,162.0,22.0,10.0,0,0,1,1,0,0
13232,1,17.22,71,11.0014,31.0,448.0,479.0,18.0,11.0,0,0,1,0,0,0
11929,1,15.58,83,16.9979,5.0,357.0,362.0,7.0,10.0,0,0,1,0,0,0
10829,0,27.06,78,6.0032,17.0,118.0,145.0,21.0,7.0,0,1,0,0,0,0
3335,1,33.62,56,26.0027,31.0,278.0,309.0,18.0,6.0,1,0,0,0,1,0
10338,0,13.94,100,11.0014,17.0,118.0,145.0,7.0,4.0,1,0,0,0,1,0
3920,1,13.94,31,11.0014,13.0,404.0,417.0,18.0,2.0,0,0,0,0,0,0
383,1,14.76,66,15.0013,0.0,19.0,19.0,1.0,11.0,0,0,1,1,0,0
2882,0,22.96,88,16.9979,17.0,118.0,145.0,9.0,4.0,1,0,0,0,0,0
7118,1,25.42,25,8.9981,64.0,277.0,341.0,20.0,5.0,1,0,0,0,0,0
2431,1,30.34,70,15.0013,17.0,118.0,145.0,19.0,8.0,0,1,0,0,0,0
14543,1,17.22,67,16.9979,24.0,256.0,280.0,8.0,3.0,0,0,0,0,0,0
15795,1,9.84,70,6.0032,0.0,20.0,20.0,5.0,2.0,0,0,0,0,0,0
9854,1,35.26,53,12.998,17.0,118.0,145.0,21.0,6.0,0,1,0,1,0,0
8850,1,8.2,93,12.998,1.0,15.0,16.0,23.0,2.0,0,0,0,0,1,0
1904,1,25.42,69,30.0026,79.0,131.0,210.0,15.0,5.0,1,0,0,0,0,0
4989,0,15.58,87,7.0015,22.0,91.0,113.0,21.0,10.0,0,0,1,0,0,0
7977,0,14.76,100,0.0,20.0,162.0,182.0,20.0,12.0,0,0,1,1,0,0
2474,1,32.8,49,0.0,66.0,261.0,327.0,16.0,8.0,0,1,0,0,0,0
14052,1,25.42,73,19.0012,2.0,8.0,10.0,2.0,6.0,1,0,0,0,0,0
8891,0,28.7,70,12.998,86.0,146.0,232.0,20.0,6.0,1,0,0,0,0,0
1817,1,28.7,84,7.0015,7.0,80.0,87.0,20.0,8.0,0,1,0,0,1,0
11654,1,31.16,37,19.9995,17.0,118.0,145.0,18.0,6.0,0,1,0,0,0,0
14769,1,19.68,100,6.0032,17.0,118.0,145.0,4.0,3.0,1,0,0,1,0,0
1605,0,6.56,74,11.0014,0.0,2.0,2.0,6.0,1.0,0,0,0,1,0,0
823,1,17.22,77,0.0,17.0,118.0,145.0,0.0,10.0,0,0,1,0,0,0
17123,1,24.6,53,0.0,51.0,209.0,260.0,14.0,12.0,0,0,1,0,0,0
3799,1,20.5,42,15.0013,17.0,118.0,145.0,15.0,3.0,1,0,0,0,0,0
8319,1,20.5,29,22.0028,17.0,118.0,145.0,14.0,1.0,0,0,0,0,0,0
8112,1,19.68,33,23.9994,17.0,118.0,145.0,20.0,2.0,0,0,0,0,0,0
3395,1,21.32,94,15.0013,1.0,5.0,6.0,2.0,5.0,1,0,0,0,1,0
8857,1,9.84,23,0.0,6.0,62.0,68.0,15.0,3.0,0,0,0,0,0,0
14187,0,27.06,89,6.0032,27.0,72.0,99.0,0.0,9.0,0,1,0,1,0,0
16471,1,30.34,66,7.0015,48.0,619.0,667.0,8.0,7.0,0,1,0,0,0,0
6813,1,13.94,87,15.0013,0.0,29.0,29.0,21.0,1.0,0,0,0,0,1,0
1803,0,27.06,78,11.0014,14.0,28.0,42.0,3.0,8.0,0,1,0,1,0,0
4136,1,18.86,94,0.0,5.0,26.0,31.0,0.0,11.0,0,0,1,1,0,0
6944,1,26.24,73,6.0032,40.0,288.0,328.0,9.0,6.0,1,0,0,0,0,0
15217,1,20.5,45,39.0007,17.0,118.0,145.0,13.0,10.0,0,0,1,0,0,0
8216,1,30.34,66,6.0032,16.0,50.0,66.0,0.0,7.0,0,1,0,0,0,0
8597,1,5.74,59,7.0015,2.0,10.0,12.0,0.0,1.0,0,0,0,0,0,0
11983,1,17.22,82,19.0012,11.0,298.0,309.0,7.0,10.0,0,0,1,0,0,0
4289,1,17.22,30,19.0012,21.0,92.0,113.0,23.0,4.0,1,0,0,0,0,0
2778,1,13.12,66,11.0014,17.0,118.0,145.0,8.0,3.0,1,0,0,0,0,0
10928,1,13.12,81,12.998,3.0,90.0,93.0,6.0,11.0,0,0,1,0,0,0
5399,0,27.06,94,7.0015,52.0,123.0,175.0,19.0,9.0,0,1,0,0,1,0
4620,0,24.6,73,8.9981,3.0,8.0,11.0,5.0,8.0,0,1,0,1,0,0
5755,1,18.04,51,15.0013,17.0,118.0,145.0,21.0,2.0,0,0,0,0,0,0
15691,0,30.34,70,19.9995,17.0,118.0,145.0,22.0,7.0,0,1,0,0,0,0
10425,1,31.98,38,31.0009,17.0,118.0,145.0,15.0,6.0,0,1,0,0,0,0
16202,1,24.6,88,0.0,17.0,118.0,145.0,2.0,5.0,1,0,0,0,0,0
1356,0,15.58,82,0.0,14.0,108.0,122.0,20.0,12.0,0,0,1,1,0,0
16518,0,29.52,45,12.998,17.0,118.0,145.0,10.0,6.0,0,1,0,0,0,0
12690,1,22.14,88,12.998,17.0,118.0,145.0,6.0,9.0,0,1,0,1,0,0
6095,1,22.96,94,12.998,17.0,401.0,418.0,7.0,5.0,1,0,0,1,0,0
9591,1,9.84,52,11.0014,0.0,3.0,3.0,3.0,1.0,0,0,0,0,0,0
10713,1,8.2,47,22.0028,7.0,58.0,65.0,22.0,1.0,0,0,0,0,0,0
1100,1,27.88,57,11.0014,71.0,213.0,284.0,13.0,6.0,1,0,0,0,0,0
13695,1,13.94,46,19.0012,4.0,87.0,91.0,20.0,4.0,1,0,0,0,0,0
